Kölfoting;Nanogona polydesmoides;(Leach, 1814);NT;16
Ålkejsarfoting;Julus scanicus;Lohmander, 1925;VU;4
Klippjordkrypare;Geophilus carpophagus;Leach, 1815;NT;14
Dvärgstenkrypare;Lithobius lapidicola;Meinert, 1872;NT;1
Kullerlöpare;Carabus convexus;Fabricius, 1775;VU;22
Bokskogslöpare;Carabus intricatus;Linnaeus, 1760;VU;120
Bred groplöpare;Elaphrus uliginosus;Fabricius, 1792;NT;12
Guldgrön sammetslöpare;Chlaenius nigricornis;(Fabricius, 1787);NT;44
Brun sammetslöpare;Chlaenius tristis;(Schaller, 1783);NT;4
Smal frölöpare;Harpalus anxius;(Duftschmid, 1812);NT;495
Höstfrölöpare;Harpalus autumnalis;(Duftschmid, 1812);CR;50
Trädesfrölöpare;Harpalus calceatus;(Duftschmid, 1812);NT;45
Gul frölöpare;Harpalus flavescens;(Piller & Mitterpacher, 1783);EN;186
Klumpfrölöpare;Harpalus froelichii;Sturm, 1818;VU;56
Sammetsfrölöpare;Harpalus griseus;(Panzer, 1797);NT;96
Platt frölöpare;Harpalus hirtipes;(Panzer, 1797);EN;57
Kustfrölöpare;Harpalus luteicornis;(Duftschmid, 1812);VU;1
Dysterfrölöpare;Harpalus melancholicus;Dejean, 1829;VU;64
Dynfrölöpare;Harpalus neglectus;Audinet-Serville, 1821;NT;44
Knubbfrölöpare;Harpalus picipennis;(Duftschmid, 1812);VU;61
Hedfrölöpare;Harpalus rufipalpis;Sturm, 1818;NT;54
Oval frölöpare;Harpalus servus;(Duftschmid, 1812);NT;117
Blank skulderlöpare;Cymindis humeralis;(Geoffroy, 1785);EN;1
Dynskulderlöpare;Cymindis macularis;Fischer von Waldheim, 1824;NT;16
Sumpskogslöpare;Limodromus krynickii;(Sperk, 1835);NT;41
Matt sollöpare;Poecilus punctulatus;(Schaller, 1783);EN;1
Källarlöpare;Laemostenus terricola;(Herbst, 1784);NT;39
Ljungkornlöpare;Amara infima;(Duftschmid, 1812);NT;6
Axlöpare;Zabrus tenebrioides;(Goeze, 1777);VU;10
Spöklöpare;Nebria livida;(Linnaeus, 1758);VU;26
Brokig mullvadslöpare;Clivina collaris;(Herbst, 1784);EN;2
Mjälgrävare;Dyschirius angustatus;(Ahrens, 1830);NT;8
Dyngrävare;Dyschirius impunctipennis;Dawson, 1854;EN;2
Ågrävare;Dyschirius intermedius;Putzeys, 1846;NT;7
Havsstrandlöpare;Bembidion bualei;Jaquelin du Val, 1852;VU;6
Torvlöpare;Bembidion humerale;Sturm, 1825;VU;5
Gul strandlöpare;Bembidion ruficolle;(Panzer, 1797);NT;33
Källkvicklöpare;Bembidion stephensii;Crotch, 1866;NT;29
Lövsumplöpare;Patrobus australis;J. Sahlberg, 1875;NT;13
;Rhantus bistriatus;(Bergsträsser, 1778);NT;4
;Hydaticus continentalis;Balfour-Browne, 1944;EN;2
